dataset,epoch,loss,ssim,psnr,mse,timestamp
data/ct_data/jaw_50.pickle,0,"[3.1238531e-05 2.6822963e-05 3.7916514e-05 ... 4.3045166e-05 2.3741519e-05
 1.9279547e-05]",0.1693,11.0187,99.2262,2025-05-05 07:31:49
data/ct_data/jaw_50.pickle,1,"[1.6688013e-05 1.2768663e-05 2.1563385e-05 ... 1.5069830e-05 1.3002399e-05
 2.2165388e-05]",0.2088,13.0136,99.0406,2025-05-05 07:57:38
data/ct_data/jaw_50.pickle,2,"[6.8800277e-06 1.1392897e-05 6.5264076e-06 ... 7.4138375e-06 7.3081901e-06
 1.6021564e-05]",0.2236,13.8345,104.4325,2025-05-05 07:58:53
data/ct_data/jaw_50.pickle,3,"[6.9863554e-06 7.2642197e-06 9.2833425e-06 ... 4.7397230e-06 8.8779207e-06
 1.1237468e-05]",0.3228,17.2515,100.3478,2025-05-05 08:00:10
data/ct_data/jaw_50.pickle,4,"[4.9314572e-06 1.0473666e-05 8.5323290e-06 ... 3.9275269e-06 3.9328324e-06
 4.8211132e-06]",0.3499,17.5949,92.4813,2025-05-05 08:01:28
data/ct_data/jaw_50.pickle,5,"[6.0465350e-06 4.1972025e-06 4.6199480e-06 ... 6.1761234e-06 5.1910256e-06
 8.0572945e-06]",0.3297,17.5671,99.827,2025-05-05 08:02:46
data/ct_data/jaw_50.pickle,6,"[2.2005700e-06 3.2931491e-06 3.8863427e-06 ... 2.8639201e-06 2.3573887e-06
 3.9324968e-06]",0.3739,18.7011,86.8359,2025-05-05 08:04:03
data/ct_data/jaw_50.pickle,7,"[3.3442091e-06 3.2146067e-06 3.1110924e-06 ... 2.5048510e-06 4.9870541e-06
 6.1056785e-06]",0.3383,17.9628,98.6731,2025-05-05 08:05:17
data/ct_data/jaw_50.pickle,8,"[3.8488470e-06 2.2527272e-06 2.9626274e-06 ... 2.9546818e-06 2.6300270e-06
 6.7751621e-06]",0.406,20.0856,86.39,2025-05-05 08:06:30
data/ct_data/jaw_50.pickle,9,"[2.5469985e-06 2.1843880e-06 2.5650186e-06 ... 2.3440982e-06 1.8352248e-06
 1.7407689e-06]",0.426,21.0491,87.555,2025-05-05 08:07:43
data/ct_data/jaw_50.pickle,10,"[4.3671166e-06 2.4354633e-06 2.1656035e-06 ... 2.3547791e-06 3.6502804e-06
 3.3404181e-06]",0.4667,21.7487,79.8439,2025-05-05 08:08:56
data/ct_data/jaw_50.pickle,11,"[1.8465528e-06 2.4671597e-06 1.2030110e-06 ... 1.0350466e-06 3.2657520e-06
 3.3227268e-06]",0.4774,23.0024,80.2364,2025-05-05 08:10:26
data/ct_data/jaw_50.pickle,12,"[1.8946079e-06 2.0055868e-06 6.2173081e-06 ... 2.0969790e-06 1.3939533e-06
 3.1449374e-06]",0.5081,23.1594,71.2697,2025-05-05 08:11:40
data/ct_data/jaw_50.pickle,13,"[1.7250655e-06 2.5255574e-06 1.3091854e-06 ... 3.6920621e-06 1.6238974e-06
 2.3026280e-06]",0.5249,24.5608,71.8783,2025-05-05 08:13:00
data/ct_data/jaw_50.pickle,14,"[9.4890487e-07 1.4767212e-06 1.3348468e-06 ... 1.9595984e-06 1.5448209e-06
 2.1554285e-06]",0.5389,24.2622,64.0822,2025-05-05 08:14:15
data/ct_data/jaw_50.pickle,15,"[1.7456816e-06 9.3384665e-07 9.9197518e-07 ... 6.8176161e-07 1.8105793e-06
 2.4117921e-06]",0.56,25.4861,66.1553,2025-05-05 08:15:30
